X Y Z sizeX sizeY sizeZ
56 50 4 8 2 1
56 52 4 8 2 1
56 54 4 8 2 1
56 56 4 8 2 1
56 58 4 8 2 1
56 60 4 8 2 1
56 62 4 8 2 1
56 64 4 8 2 1
56 66 4 8 2 1
56 68 4 8 2 1
56 70 4 8 2 1
56 72 4 8 2 1
56 74 4 8 2 1
56 76 4 8 2 1
56 78 4 8 2 1
56 80 4 8 2 1
56 82 4 8 2 1
56 84 4 8 2 1
56 86 4 8 2 1
64 30 4 8 2 1
64 32 4 8 2 1
64 34 4 8 2 1
64 36 4 8 2 1
64 38 4 8 2 1
64 40 4 8 2 1
64 42 4 8 2 1
64 44 4 8 2 1
64 46 4 8 2 1
64 48 4 8 2 1
64 50 4 8 2 1
64 52 4 8 2 1
64 54 4 8 2 1
64 56 4 8 2 1
64 58 4 8 2 1
64 60 4 8 2 1
64 62 4 8 2 1
64 64 4 8 2 1
64 66 4 8 2 1
64 68 4 8 2 1
64 70 4 8 2 1
64 72 4 8 2 1
64 74 4 8 2 1
64 76 4 8 2 1
64 78 4 8 2 1
64 80 4 8 2 1
64 82 4 8 2 1
72 34 4 8 2 1
72 36 4 8 2 1
72 38 4 8 2 1
72 40 4 8 2 1
72 42 4 8 2 1
72 44 4 8 2 1
72 46 4 8 2 1
72 48 4 8 2 1
72 50 4 8 2 1
72 52 4 8 2 1
72 54 4 8 2 1
72 56 4 8 2 1
72 58 4 8 2 1
72 60 4 8 2 1
72 62 4 8 2 1
72 64 4 8 2 1
72 66 4 8 2 1
72 68 4 8 2 1
72 70 4 8 2 1
72 72 4 8 2 1
72 74 4 8 2 1
10 80 4 2 8 1
12 80 4 2 8 1
14 72 4 2 8 1
14 80 4 2 8 1
22 40 4 2 8 1
22 48 4 2 8 1
80 40 4 2 8 1
80 48 4 2 8 1
80 56 4 2 8 1
80 64 4 2 8 1
82 40 4 2 8 1
82 48 4 2 8 1
82 56 4 2 8 1
82 64 4 2 8 1
19 53 4 2 8 1
27 30 4 2 8 1
29 25 4 2 8 1
20 90 4 4 2 1
20 92 4 4 2 1
32 92 4 4 2 1
36 24 4 4 2 1
64 28 4 4 2 1
64 84 4 4 2 1
72 32 4 4 2 1
72 76 4 4 2 1
72 78 4 4 2 1
29 94 4 4 2 1
12 76 4 2 4 1
14 68 4 2 4 1
22 56 4 2 4 1
76 76 4 2 4 1
80 36 4 2 4 1
18 90 4 2 4 1
29 33 4 2 4 1
12 74 4 2 2 1
14 88 4 2 2 1
20 40 4 2 2 1
20 50 4 2 2 1
22 60 4 2 2 1
34 24 4 2 2 1
36 92 4 2 2 1
40 92 4 2 2 1
50 90 4 2 2 1
56 24 4 2 2 1
68 28 4 2 2 1
72 30 4 2 2 1
72 80 4 2 2 1
76 32 4 2 2 1
80 72 4 2 2 1
84 48 4 2 2 1
17 60 4 2 2 1
25 36 4 2 2 1
69 84 4 2 2 1
24 94 4 4 1 1
40 23 4 4 1 1
44 23 4 4 1 1
56 88 4 4 1 1
64 27 4 4 1 1
10 88 4 4 1 1
42 92 4 4 1 1
58 25 4 4 1 1
9 84 4 1 4 1
18 56 4 1 4 1
21 52 4 1 4 1
21 56 4 1 4 1
31 28 4 1 4 1
31 32 4 1 4 1
84 44 4 1 4 1
84 52 4 1 4 1
84 56 4 1 4 1
13 70 4 1 4 1
15 90 4 3 1 1
21 39 4 3 1 1
48 23 4 3 1 1
19 61 4 3 1 1
29 37 4 3 1 1
31 25 4 3 1 1
37 23 4 3 1 1
52 90 4 3 1 1
70 29 4 3 1 1
74 31 4 3 1 1
26 33 4 1 3 1
28 27 4 1 3 1
11 77 4 1 3 1
15 65 4 1 3 1
21 47 4 1 3 1
78 76 4 1 3 1
82 37 4 1 3 1
38 92 4 2 1 1
48 90 4 2 1 1
60 88 4 2 1 1
64 86 4 2 1 1
72 82 4 2 1 1
74 80 4 2 1 1
82 72 4 2 1 1
33 94 4 2 1 1
9 82 4 1 2 1
31 26 4 1 2 1
80 74 4 1 2 1
84 50 4 1 2 1
20 52 4 1 1 1
21 42 4 1 1 1
21 60 4 1 1 1
23 38 4 1 1 1
27 27 4 1 1 1
28 94 4 1 1 1
31 36 4 1 1 1
42 93 4 1 1 1
48 91 4 1 1 1
56 89 4 1 1 1
58 24 4 1 1 1
64 26 4 1 1 1
68 84 4 1 1 1
72 83 4 1 1 1
74 30 4 1 1 1
74 81 4 1 1 1
78 33 4 1 1 1
79 76 4 1 1 1
80 35 4 1 1 1
85 47 4 1 1 1
2 48 5 2 8 1
2 56 5 2 8 1
4 48 5 2 8 1
4 56 5 2 8 1
4 64 5 2 8 1
